State/federal,Held in private prisons,Held in local jails,,,,,,,,
U.S. total,"118,444","80,511",,,,,,,,
Federal/b,"27,747",649,,,,,,,,
State,"90,697","79,862",,,,,,,,
Alabama,369,"2,061",,,,,,,,
Alaska/c,209,35,,,,,,,,
Arizona,"8,231",0,,,,,,,,
Arkansas,0,"1,866",,,,,,,,
"California/d,e","3,952","1,667",,,,,,,,
Colorado,"3,909",259,,,,,,,,
Connecticut/c,507,0,,,,,,,,
Delaware/c,0,0,,,,,,,,
Florida,"10,524","1,123",,,,,,,,
Georgia,"7,801","4,689",,,,,,,,
Hawaii/c,"1,483",0,,,,,,,,
Idaho,"1,126",595,,,,,,,,
Illinois,523,0,,,,,,,,
Indiana/f,"4,034",315,,,,,,,,
Iowa,0,0,,,,,,,,
Kansas,0,91,,,,,,,,
Kentucky,839,"11,137",,,,,,,,
Louisiana,0,"17,517",,,,,,,,
Maine,0,15,,,,,,,,
Maryland,29,107,,,,,,,,
Massachusetts,0,226,,,,,,,,
Michigan,0,0,,,,,,,,
Minnesota,0,804,,,,,,,,
Mississippi,"3,217","5,545",,,,,,,,
Missouri,0,0,,,,,,,,
Montana/e,"2,011",33,,,,,,,,
Nebraska,0,146,,,,,,,,
Nevada,200,15,,,,,,,,
New Hampshire/g,0,40,,,,,,,,
New Jersey,"2,652",211,,,,,,,,
New Mexico,"2,051",0,,,,,,,,
New York,0,2,,,,,,,,
North Carolina,30,0,,,,,,,,
North Dakota,337,0,,,,,,,,
Ohio,"6,567",0,,,,,,,,
Oklahoma,"7,277",13,,,,,,,,
Oregon/h,0,0,,,,,,,,
Pennsylvania,431,359,,,,,,,,
Rhode Island/c,0,0,,,,,,,,
South Carolina,73,314,,,,,,,,
South Dakota,38,0,,,,,,,,
Tennessee,"7,615","6,828",,,,,,,,
Texas,"12,491","13,504",,,,,,,,
Utah/g,0,"1,384",,,,,,,,
Vermont/c,221,0,,,,,,,,
Virginia,"1,559","7,206",,,,,,,,
Washington,0,194,,,,,,,,
West Virginia,0,946,,,,,,,,
Wisconsin,0,507,,,,,,,,
Wyoming,391,87,,,,,,,,
