Crime,(2016) All prisoners who received a sentence in the custody of publicly or privately operated federal correctional facilities,(2016) Male prisoners who received a sentence in the custody of publicly or privately operated federal correctional facilities,(2016) Female prisoners who received a sentence in the custody of publicly or privately operated federal correctional facilities,(2016) White prisoners who received a sentence in the custody of publicly or privately operated federal correctional facilities,(2016) Black prisoners who received a sentence in the custody of publicly or privately operated federal correctional facilities,(2016) Hispanic prisoners who received a sentence in the custody of publicly or privately operated federal correctional facilities,,
Violent,13100,12600,500,3200,6500,1300,,
Homicide,2700,2600,100,300,1600,200,,
Robbery,6400,6200,200,2100,3600,600,,
Other,4000,3900,200,800,1300,500,,
Property,9800,7900,1900,3900,3900,1500,,
Burglary,400,400,10,100,300,20,,
Fraud,7700,6100,1600,3100,3000,1300,,
Other,1800,1500,300,800,600,200,,
Drug,78800,72500,6300,17300,29000,31000,,
Public Order,64300,62000,2300,21300,22200,19300,,
Immigration,11100,10700,400,300,200,10600,,
Weapons,28300,27900,500,6600,16500,4500,,
Other,24800,23400,1400,14400,5500,4100,,
Unsepcified,700,700,100,400,200,200,,
Violent,710900,675200,35400,190900,252400,168100,,
Murder,182400,171100,11300,41900,68600,43200,,
Negligent manslaughter,17300,15000,2300,5300,3200,2800,,
Rape/sexual assault,164800,162400,2300,65600,34600,39000,,
Robbery,168800,161200,7600,28900,81100,35300,,
Aggravated/simple assault,135400,127100,8300,36500,49500,37200,,
Other,42100,38600,3600,12600,15300,10700,,
Property,226100,201300,24900,95400,61000,34200,,
Burglary,121300,114500,6700,46000,36400,19900,,
Larceny-theft,44000,36200,8000,21800,12700,5900,,
Motor vehicle theft,9600,8900,800,4000,2400,2600,,
Fraud,25900,19300,6700,11800,5000,2700,,
Other,25200,22500,2800,11800,4400,3100,,
Drug,190100,166800,23500,61600,57900,38600,,
Drug possession,45300,38500,6900,16300,13300,8800,,
Other,144800,128300,16600,45300,44500,29800,,
Public order,153100,143500,9600,49900,46900,36400,,
Weapons,54400,52700,1600,10500,22700,14800,,
DUI,24600,22100,2500,11000,3100,7300,,
Other,74100,68600,5500,28300,21100,14300,,
Other/unspecified,8200,7200,1000,3300,1500,1100,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
