,Total correction population,,,,Community supervision,,,Incarcerated,,,
Jurisdiction,"Total correctional population, 12/31/2016/a","Correctional supervision rate per 100,000 ages 18 or older/b","Correctional supervision rate per 100,000 U.S. residents of all ages/b",,"Number on probation or parole, 12/31/2016/c","Community supervision rate per 100,000 U.S. residents ages 18 or older/b","Community supervision rate per 100,000 U.S. residents of all ages/b",,"Number in prison or local jail, 12/31/2016/d","Incarceration rate per 100,000 U.S. residents ages 18 or older/b","Incarceration rate per 100,000 U.S. residents of all ages"
U.S. total/e,"6,582,100","2,630","2,030",,"4,537,100","1,810","1,400",,"2,131,000",850,660
Federal/f,"320,000",130,100,,"131,700",50,40,,"188,400",80,60
State,"6,262,000","2,500","1,930",,"4,405,400","1,760","1,360",,"1,942,600",780,600
Alabama,"99,800","2,640","2,050",,"60,700","1,610","1,250",,"40,900","1,080",840
Alaska,"12,900","2,320","1,730",,"8,400","1,520","1,140",,"4,400",800,600
Arizona,"137,500","2,570","1,970",,"84,800","1,590","1,220",,"55,000","1,030",790
Arkansas,"72,100","3,150","2,410",,"51,500","2,250","1,720",,"24,000","1,050",800
California,"536,100","1,770","1,360",,"333,300","1,100",850,,"202,700",670,510
Colorado,"121,900","2,820","2,180",,"90,900","2,110","1,630",,"32,100",740,580
Connecticut,"59,600","2,110","1,670",,"44,700","1,580","1,250",,"15,000",530,420
Delaware,"22,400","2,980","2,340",,"15,800","2,100","1,650",,"6,600",880,690
District of Columbia,"10,400","1,840","1,510",,"9,600","1,710","1,400",,"1,800",320,270
Florida,"366,000","2,200","1,760",,"218,600","1,320","1,050",,"149,800",900,720
Georgia/g,0,0,0,,0,0,0,,"91,400","1,160",880
Hawaii,"27,500","2,450","1,920",,"21,900","1,950","1,530",,"5,600",500,390
Idaho,"48,800","3,880","2,870",,"37,500","2,980","2,210",,"11,300",900,670
Illinois,"204,200","2,070","1,600",,"143,400","1,450","1,120",,"60,800",620,480
Indiana,"159,900","3,150","2,400",,"116,700","2,300","1,760",,"43,200",850,650
Iowa,"46,700","1,940","1,490",,"35,100","1,460","1,120",,"13,400",560,430
Kansas,"38,500","1,750","1,320",,"21,500",980,740,,"17,200",780,590
Kentucky,"97,900","2,850","2,200",,"63,800","1,860","1,440",,"34,700","1,010",780
Louisiana,"111,000","3,110","2,370",,"71,000","1,980","1,510",,"45,400","1,270",970
Maine,"10,300",960,780,,"6,800",630,510,,"4,100",380,300
Maryland,"99,000","2,120","1,640",,"82,800","1,770","1,370",,"28,400",610,470
Massachusetts,"82,900","1,520","1,210",,"63,600","1,170",930,,"19,400",360,280
Michigan,0,0,0,,0,0,0,,"56,500",730,570
Minnesota,"119,500","2,810","2,160",,"103,900","2,450","1,880",,"16,300",380,290
Mississippi,"65,300","2,880","2,180",,"37,700","1,660","1,260",,"28,700","1,260",960
Missouri,"105,900","2,240","1,730",,"61,600","1,300","1,010",,"44,300",940,730
Montana,"15,200","1,860","1,460",,"10,200","1,250",970,,"5,700",700,550
Nebraska,"23,300","1,620","1,220",,"14,600","1,010",760,,"8,800",610,460
Nevada,"39,200","1,720","1,320",,"19,000",830,640,,"20,200",890,680
New Hampshire,"10,800","1,010",810,,"6,400",590,480,,"4,500",410,330
New Jersey,"186,300","2,670","2,080",,"155,700","2,230","1,740",,"32,000",460,360
New Mexico,"30,200","1,900","1,450",,"15,500",970,740,,"14,700",930,710
New York,"212,100","1,360","1,070",,"142,400",910,720,,"74,400",480,380
North Carolina,"149,300","1,890","1,460",,"95,200","1,210",930,,"54,100",680,530
North Dakota,"10,300","1,770","1,350",,"7,100","1,230",940,,"3,100",540,410
Ohio,"326,200","3,620","2,810",,"256,400","2,840","2,200",,"71,000",790,610
Oklahoma/g,"74,500","2,510","1,890",,"35,500","1,190",900,,"39,000","1,310",990
Oregon,"82,000","2,520","1,990",,"61,400","1,890","1,490",,"20,700",640,500
Pennsylvania,"368,100","3,640","2,880",,"291,600","2,880","2,280",,"82,400",810,640
Rhode Island,"24,300","2,850","2,290",,"23,200","2,730","2,200",,"3,100",370,290
South Carolina,"68,800","1,770","1,380",,"36,700",940,740,,"32,100",820,640
South Dakota,"15,000","2,290","1,720",,"9,300","1,420","1,070",,"5,800",880,670
Tennessee,"119,400","2,310","1,790",,"74,700","1,440","1,120",,"48,400",930,720
Texas,"681,900","3,290","2,430",,"482,900","2,330","1,720",,"218,500","1,050",780
Utah,"25,400","1,180",820,,"15,900",740,520,,"11,700",540,380
Vermont,"7,400","1,450","1,180",,"5,800","1,150",940,,"1,700",340,280
Virginia,"120,000","1,830","1,420",,"62,500",950,740,,"57,500",880,680
Washington,"127,000","2,230","1,730",,"100,600","1,760","1,370",,"30,400",530,410
West Virginia,"20,100","1,380","1,100",,"10,100",690,550,,"10,100",690,550
Wisconsin,"100,500","2,230","1,740",,"64,900","1,440","1,120",,"35,600",790,620
Wyoming,"9,400","2,100","1,600",,"5,500","1,230",940,,"3,900",870,660
